Start time,End time,Calories (kcal),Distance (m),Low latitude (deg),Low longitude (deg),High latitude (deg),High longitude (deg),Average speed (m/s),Max speed (m/s),Min speed (m/s),Step count,Average weight (kg),Max weight (kg),Min weight (kg),Inactive duration (ms),Walking duration (ms),Light sleeping duration (ms),Deep sleeping duration (ms),Awake mid-sleeping duration (ms)
13:30:00.000Z,13:45:00.000Z,22.02048661906334,37.5881345735511,0.326904,32.6045728,0.326904,32.6045728,0.6061526536941528,0.6061526536941528,0.6061526536941528,102,,,,797200,62010,,,
13:45:00.000Z,14:00:00.000Z,17.88541506958687,,0.326831,32.6044181,0.326831,32.6044181,,,,,,,,900000,,,,
14:00:00.000Z,14:15:00.000Z,17.88541506958687,,,,,,,,,31,,,,900000,,,,
14:15:00.000Z,14:30:00.000Z,17.88541506958687,,,,,,,,,40,,,,900000,,,,
14:30:00.000Z,14:45:00.000Z,17.885415957123126,,0.326831,32.6043524,0.3268414,32.6044181,,,,67,,,,652559,,,,
14:45:00.000Z,15:00:00.000Z,17.88541603088379,,0.326831,32.6044181,0.326831,32.6044181,,,,1,,,,900000,,,,
15:00:00.000Z,15:15:00.000Z,17.88541603088379,,,,,,,,,,,,,900000,,,,
15:15:00.000Z,15:30:00.000Z,17.88541603088379,,,,,,,,,,,,,900000,,,,
15:30:00.000Z,15:45:00.000Z,17.885415884488538,,,,,,,,,36,,,,423376,,,,
15:45:00.000Z,16:00:00.000Z,52.00931402491858,349.7845377922058,0.3264857,32.6050084,0.3270046,32.6054144,0.6882003962441005,1.275996446609497,0.3973473310470581,517,,,,,511734,,,
16:00:00.000Z,16:15:00.000Z,17.885416445879496,,0.3128594,32.6096897,0.3128594,32.6096897,,,,71,,,,147312,,,,
16:15:00.000Z,16:30:00.000Z,23.16989806018102,56.010205030441284,,,,,0.8214584290981293,1.0118240118026733,0.6310928463935852,247,,,,820752,79248,,,
16:30:00.000Z,16:45:00.000Z,17.8854150952866,,,,,,,,,,,,,900000,,,,
16:45:00.000Z,17:00:00.000Z,17.8854150952866,,,,,,,,,10,,,,900000,,,,
17:00:00.000Z,17:15:00.000Z,17.88541568024796,,,,,,,,,3,,,,480000,,420000,,
17:15:00.000Z,17:30:00.000Z,17.88541634877523,,,,,,,,,,,,,,,900000,,
17:30:00.000Z,17:45:00.000Z,17.88541630514307,,,,,,,,,,,,,,,840000,60000,
17:45:00.000Z,18:00:00.000Z,17.885415694292853,,0.2965987,32.6088726,0.2965987,32.6088726,,,,,,,,,,,900000,
18:00:00.000Z,18:15:00.000Z,17.8854158641045,,,,,,,,,,,,,,,840000,60000,
18:15:00.000Z,18:30:00.000Z,17.8854158762339,,0.2967229,32.6088435,0.2969471,32.6092804,,,,,,,,,,900000,,
18:30:00.000Z,18:45:00.000Z,17.885415640293687,,0.2968373,32.608768,0.2968373,32.608768,,,,,,,,,,480000,420000,
18:45:00.000Z,19:00:00.000Z,17.885415766789365,,,,,,,,,,,,,,,540000,360000,
19:00:00.000Z,19:15:00.000Z,17.88541603088379,,,,,,,,,,,,,,,900000,,
19:15:00.000Z,19:30:00.000Z,17.88541603088379,,,,,,,,,,,,,,,900000,,
19:30:00.000Z,19:45:00.000Z,17.88541603088379,,,,,,,,,,,,,,,900000,,
19:45:00.000Z,20:00:00.000Z,17.885415903727214,,,,,,,,,,,,,,,900000,,
20:00:00.000Z,20:15:00.000Z,17.885415818956165,,,,,,,,,,,,,,,900000,,
20:15:00.000Z,20:30:00.000Z,17.885416242811413,,0.2969471,32.6092804,0.2969471,32.6092804,,,,,,,,,,180000,720000,
20:30:00.000Z,20:45:00.000Z,17.885416158040364,,,,,,,,,,,,,,,540000,360000,
20:45:00.000Z,21:00:00.000Z,17.885416134920987,,,,,,,,,,,,,,,600000,,300000
21:00:00.000Z,21:15:00.000Z,17.885416204279117,3.023474178403756,,,,,,,,,,,,,,900000,,
21:15:00.000Z,21:30:00.000Z,17.88541607306103,3.23943661971831,,,,,,,,,,,,,,540000,360000,
21:30:00.000Z,21:45:00.000Z,17.8854158762339,3.23943661971831,,,,,,,,,,,,,,,900000,
21:45:00.000Z,22:00:00.000Z,17.8854158762339,3.23943661971831,,,,,,,,,,,,,,,900000,
22:00:00.000Z,22:15:00.000Z,17.885416020573796,3.23943661971831,,,,,,,,,,,,,,840000,60000,
22:15:00.000Z,22:30:00.000Z,17.88541603088379,3.23943661971831,,,,,,,,,,,,,,900000,,
22:30:00.000Z,22:45:00.000Z,17.88541603088379,3.23943661971831,,,,,,,,,,,,,,900000,,
22:45:00.000Z,23:00:00.000Z,17.88541603088379,3.23943661971831,,,,,,,,,,,,,,900000,,
23:00:00.000Z,23:15:00.000Z,17.88541583308467,3.23943661971831,,,,,,,,,,,,,,900000,,
23:15:00.000Z,23:30:00.000Z,17.88541594258061,3.23943661971831,,,,,,,,,,,,,,780000,120000,
23:30:00.000Z,23:45:00.000Z,17.885416746139526,3.23943661971831,,,,,,,,,,,,,,60000,840000,
23:45:00.000Z,00:00:00.000Z,17.885416746139526,3.23943661971831,,,,,,,,,,,,,,900000,,
