Start time,End time,Calories (kcal),Distance (m),Low latitude (deg),Low longitude (deg),High latitude (deg),High longitude (deg),Average speed (m/s),Max speed (m/s),Min speed (m/s),Step count,Average weight (kg),Max weight (kg),Min weight (kg),Inactive duration (ms),Walking duration (ms)
00:00:00.000Z,00:15:00.000Z,17.88541603088379,,,,,,,,,,,,,900000,
00:15:00.000Z,00:30:00.000Z,17.88541603088379,,,,,,,,,,,,,900000,
00:30:00.000Z,00:45:00.000Z,17.88541603088379,,,,,,,,,,,,,900000,
00:45:00.000Z,01:00:00.000Z,17.88541603088379,,,,,,,,,,,,,900000,
01:00:00.000Z,01:15:00.000Z,17.88541603088379,,,,,,,,,,,,,900000,
01:15:00.000Z,01:30:00.000Z,17.88541603088379,,,,,,,,,,,,,900000,
01:30:00.000Z,01:45:00.000Z,17.88541603088379,,,,,,,,,,,,,900000,
01:45:00.000Z,02:00:00.000Z,17.88541603088379,,,,,,,,,,,,,900000,
02:00:00.000Z,02:15:00.000Z,17.88541603088379,,,,,,,,,,,,,900000,
02:15:00.000Z,02:30:00.000Z,17.88541603088379,,,,,,,,,,,,,900000,
02:30:00.000Z,02:45:00.000Z,17.88541603088379,,,,,,,,,,,,,900000,
02:45:00.000Z,03:00:00.000Z,17.88541603088379,,,,,,,,,,,,,900000,
03:00:00.000Z,03:15:00.000Z,17.88541603088379,,,,,,,,,,,,,900000,
03:15:00.000Z,03:30:00.000Z,17.88541603088379,,,,,,,,,,,,,900000,
03:30:00.000Z,03:45:00.000Z,17.88541603088379,,,,,,,,,,,,,900000,
03:45:00.000Z,04:00:00.000Z,17.88541603088379,,,,,,,,,,,,,900000,
04:00:00.000Z,04:15:00.000Z,17.88541603088379,,,,,,,,,19,,,,900000,
04:15:00.000Z,04:30:00.000Z,17.88541603088379,,,,,,,,,,,,,900000,
04:30:00.000Z,04:45:00.000Z,17.88541603088379,,,,,,,,,,,,,900000,
04:45:00.000Z,05:00:00.000Z,17.88541603088379,,,,,,,,,1,,,,900000,
05:00:00.000Z,05:15:00.000Z,17.88541603088379,,,,,,,,,18,,,,900000,
05:15:00.000Z,05:30:00.000Z,17.88541603088379,,,,,,,,,50,,,,900000,
05:30:00.000Z,05:45:00.000Z,17.88541603088379,,,,,,,,,19,,,,900000,
05:45:00.000Z,06:00:00.000Z,17.88541603088379,,,,,,,,,162,,,,900000,
06:00:00.000Z,06:15:00.000Z,17.88541603088379,,,,,,,,,,,,,900000,
06:15:00.000Z,06:30:00.000Z,17.88541603088379,,,,,,,,,9,,,,900000,
06:30:00.000Z,06:45:00.000Z,17.88541603088379,,0.2963848,32.6090209,0.2963848,32.6090209,,,,1,,,,900000,
06:45:00.000Z,07:00:00.000Z,17.88541603088379,,0.2970018,32.6091396,0.2970018,32.6091396,,,,25,,,,900000,
07:00:00.000Z,07:15:00.000Z,17.88541603088379,,,,,,,,,12,,,,900000,
07:15:00.000Z,07:30:00.000Z,17.88541603088379,,,,,,,,,,,,,900000,
07:30:00.000Z,07:45:00.000Z,17.88541603088379,,0.2970018,32.6091396,0.2970018,32.6091396,,,,,,,,900000,
07:45:00.000Z,08:00:00.000Z,17.88541603088379,,,,,,,,,,,,,900000,
08:00:00.000Z,08:15:00.000Z,17.88541603088379,,,,,,,,,,,,,900000,
08:15:00.000Z,08:30:00.000Z,17.88541603088379,,,,,,,,,87,,,,900000,
08:30:00.000Z,08:45:00.000Z,23.8357955825553,29.464109526039152,0.2963848,32.6090209,0.2963848,32.6090209,0.5021565556526184,0.5021565556526184,0.5021565556526184,216,,,,810766,89234
08:45:00.000Z,09:00:00.000Z,41.16007202877147,238.9765099426498,0.2970018,32.6091396,0.2970018,32.6091396,0.5918631979679039,1.6169462203979492,0.3131147623062134,429,,,,201158,349035
09:00:00.000Z,09:15:00.000Z,24.825702377486387,61.63284111022949,0.3000863,32.6070266,0.3000863,32.6070266,0.7000885605812073,0.8736932277679443,0.5264838933944702,99,,,,,104079
09:15:00.000Z,09:30:00.000Z,17.885416166315323,,0.3274283,32.5970142,0.3274283,32.5970142,,,,58,,,,832218,
09:30:00.000Z,09:45:00.000Z,17.88541603088379,,,,,,,,,,,,,900000,
09:45:00.000Z,10:00:00.000Z,17.88541603088379,,,,,,,,,,,,,900000,
10:00:00.000Z,10:15:00.000Z,17.88541603088379,,,,,,,,,2,,,,900000,
10:15:00.000Z,10:30:00.000Z,17.88541603088379,,,,,,,,,40,,,,900000,
10:30:00.000Z,10:45:00.000Z,17.88541603088379,,,,,,,,,,,,,900000,
10:45:00.000Z,11:00:00.000Z,17.88541603088379,,,,,,,,,,,,,900000,
11:00:00.000Z,11:15:00.000Z,17.88541603088379,,,,,,,,,,,,,900000,
11:15:00.000Z,11:30:00.000Z,17.885415047196165,,,,,,,,,,,,,900000,
11:30:00.000Z,11:45:00.000Z,17.885416012164338,,,,,,,,,9,,,,900000,
11:45:00.000Z,12:00:00.000Z,17.88541603088379,,,,,,,,,,,,,900000,
