Start time,End time,Calories (kcal),Distance (m),Low latitude (deg),Low longitude (deg),High latitude (deg),High longitude (deg),Average speed (m/s),Max speed (m/s),Min speed (m/s),Step count,Average weight (kg),Max weight (kg),Min weight (kg),Inactive duration (ms),Walking duration (ms),Light sleeping duration (ms),Deep sleeping duration (ms)
14:15:00.000Z,14:30:00.000Z,17.88541603088379,0.0,,,,,,,,,,,,900000,,,
14:30:00.000Z,14:45:00.000Z,17.88541603088379,0.0,,,,,,,,,,,,900000,,,
14:45:00.000Z,15:00:00.000Z,17.88541603088379,0.0,,,,,,,,,,,,900000,,,
15:00:00.000Z,15:15:00.000Z,17.88541603088379,0.0,,,,,,,,,,,,900000,,,
15:15:00.000Z,15:30:00.000Z,17.88541603088379,0.0,,,,,0.0,0.0,0.0,,,,,900000,,,
15:30:00.000Z,15:45:00.000Z,17.88541603088379,0.0,,,,,,,,,,,,900000,,,
15:45:00.000Z,16:00:00.000Z,17.88541603088379,0.0,,,,,,,,,,,,900000,,,
16:00:00.000Z,16:15:00.000Z,17.88541603088379,0.0,,,,,,,,,,,,900000,,,
16:15:00.000Z,16:30:00.000Z,17.88541603088379,0.0,,,,,,,,,,,,900000,,,
16:30:00.000Z,16:45:00.000Z,17.88541603088379,0.0,,,,,,,,,,,,900000,,,
16:45:00.000Z,17:00:00.000Z,17.88541603088379,0.0,,,,,,,,,,,,900000,,,
17:00:00.000Z,17:15:00.000Z,17.88541603088379,0.0,,,,,,,,,,,,900000,,,
17:15:00.000Z,17:30:00.000Z,17.88541603088379,0.0,,,,,,,,,,,,900000,,,
17:30:00.000Z,17:45:00.000Z,17.88541603088379,0.0,,,,,,,,,,,,900000,,,
17:45:00.000Z,18:00:00.000Z,17.88541603088379,0.0,,,,,,,,,,,,900000,,,
18:00:00.000Z,18:15:00.000Z,17.88541603088379,0.0,,,,,,,,,,,,900000,,,
18:15:00.000Z,18:30:00.000Z,17.88541603088379,0.0,,,,,,,,,,,,900000,,,
18:30:00.000Z,18:45:00.000Z,17.88541603088379,0.0,,,,,,,,,,,,900000,,,
18:45:00.000Z,19:00:00.000Z,17.88541610187449,0.0,,,,,,,,,,,,877426,,,
19:00:00.000Z,19:15:00.000Z,17.885415846997123,0.0,0.3743352,32.6325074,0.3743352,32.6325074,,,,58,,,,658731,,,
19:15:00.000Z,19:30:00.000Z,17.88541603088379,0.0,0.3743352,32.6325074,0.3743352,32.6325074,,,,129,,,,900000,,,
19:30:00.000Z,19:45:00.000Z,17.88541603088379,0.0,,,,,,,,66,,,,900000,,,
19:45:00.000Z,20:00:00.000Z,17.88541603088379,0.0,,,,,,,,140,,,,900000,,,
20:00:00.000Z,20:15:00.000Z,17.88541593950844,0.0,0.3743352,32.6325074,0.3743352,32.6325074,,,,196,,,,708827,,,
20:15:00.000Z,20:30:00.000Z,17.8854153993914,0.0,0.3743352,32.6325074,0.3743352,32.6325074,,,,351,,,,,,,
20:30:00.000Z,20:45:00.000Z,17.8854153993914,0.0,0.380197,32.6347095,0.380197,32.6347095,,,,96,,,,,,,
20:45:00.000Z,21:00:00.000Z,17.88541499550153,0.0,,,,,,,,135,,,,732041,,,
21:00:00.000Z,21:15:00.000Z,17.88541588766025,15.810026385224274,,,,,,,,29,,,,210859,,,
21:15:00.000Z,21:30:00.000Z,17.885415831800437,16.939313984168866,,,,,,,,24,,,,46457,,,
21:30:00.000Z,21:45:00.000Z,17.885415812671337,16.939313984168866,,,,,,,,24,,,,,,,
21:45:00.000Z,22:00:00.000Z,17.885415812671337,16.939313984168866,,,,,,,,24,,,,,,,
22:00:00.000Z,22:15:00.000Z,17.885416607779376,16.939313984168866,,,,,,,,24,,,,,,,
22:15:00.000Z,22:30:00.000Z,17.885416866251965,16.939313984168866,,,,,,,,24,,,,,,,
22:30:00.000Z,22:45:00.000Z,17.885416866251965,16.939313984168866,,,,,,,,24,,,,,,,
22:45:00.000Z,23:00:00.000Z,17.885416866251965,16.939313984168866,,,,,,,,24,,,,,,,
23:00:00.000Z,23:15:00.000Z,17.885416866251965,16.939313984168866,,,,,,,,24,,,,,,,
23:15:00.000Z,23:30:00.000Z,17.885416859256345,16.939313984168866,,,,,,,,25,,,,,,,
23:30:00.000Z,23:45:00.000Z,17.8854163097834,16.939313984168866,0.2967795,32.6092154,0.2967795,32.6092154,,,,6,,,,124785,,660000,
23:45:00.000Z,00:00:00.000Z,17.88541603088379,16.939313984168866,,,,,,,,,,,,,,900000,
