Start time,End time,Calories (kcal),Distance (m),Low latitude (deg),Low longitude (deg),High latitude (deg),High longitude (deg),Average speed (m/s),Max speed (m/s),Min speed (m/s),Step count,Average weight (kg),Max weight (kg),Min weight (kg),Inactive duration (ms),Walking duration (ms),Running duration (ms)
00:00:00.000Z,00:15:00.000Z,17.88541603088379,,,,,,,,,,,,,900000,,
00:15:00.000Z,00:30:00.000Z,17.88541603088379,,,,,,,,,,,,,900000,,
00:30:00.000Z,00:45:00.000Z,17.88541603088379,,,,,,,,,,,,,900000,,
00:45:00.000Z,01:00:00.000Z,17.88541603088379,,,,,,,,,,,,,900000,,
01:00:00.000Z,01:15:00.000Z,17.88541603088379,,,,,,,,,,,,,900000,,
01:15:00.000Z,01:30:00.000Z,17.88541603088379,,,,,,,,,,,,,900000,,
01:30:00.000Z,01:45:00.000Z,17.88541603088379,,,,,,,,,,,,,900000,,
01:45:00.000Z,02:00:00.000Z,17.88541603088379,,,,,,,,,,,,,900000,,
02:00:00.000Z,02:15:00.000Z,17.88541603088379,,,,,,,,,,,,,900000,,
02:15:00.000Z,02:30:00.000Z,17.88541603088379,,,,,,,,,,,,,900000,,
02:30:00.000Z,02:45:00.000Z,17.88541603088379,,,,,,,,,,,,,900000,,
02:45:00.000Z,03:00:00.000Z,17.88541603088379,,,,,,,,,,,,,900000,,
03:00:00.000Z,03:15:00.000Z,17.88541603088379,,,,,,,,,,,,,900000,,
03:15:00.000Z,03:30:00.000Z,17.88541603088379,,,,,,,,,,,,,900000,,
03:30:00.000Z,03:45:00.000Z,17.88541603088379,,,,,,,,,,,,,900000,,
03:45:00.000Z,04:00:00.000Z,17.88541603088379,,,,,,,,,,,,,900000,,
04:00:00.000Z,04:15:00.000Z,17.88541603088379,,,,,,,,,,,,,900000,,
04:15:00.000Z,04:30:00.000Z,17.88541603088379,,,,,,,,,27,,,,900000,,
04:30:00.000Z,04:45:00.000Z,17.88541603088379,,,,,,,,,19,,,,900000,,
04:45:00.000Z,05:00:00.000Z,17.88541603088379,,0.296377,32.6090361,0.2969941,32.6091313,,,,,,,,900000,,
05:00:00.000Z,05:15:00.000Z,17.88541603088379,,0.296377,32.6090361,0.2969941,32.6091313,,,,5,,,,900000,,
05:15:00.000Z,05:30:00.000Z,17.88541603088379,,,,,,,,,,,,,900000,,
05:30:00.000Z,05:45:00.000Z,17.88541603088379,,,,,,,,,,,,,900000,,
05:45:00.000Z,06:00:00.000Z,17.88541603088379,,0.296377,32.6090361,0.2969941,32.6091313,,,,,,,,900000,,
06:00:00.000Z,06:15:00.000Z,17.88541603088379,,,,,,,,,,,,,900000,,
06:15:00.000Z,06:30:00.000Z,17.88541603088379,,,,,,,,,,,,,900000,,
06:30:00.000Z,06:45:00.000Z,17.88541603088379,,,,,,,,,16,,,,900000,,
06:45:00.000Z,07:00:00.000Z,17.88541545045564,,,,,,,,,14,,,,900000,,
07:00:00.000Z,07:15:00.000Z,17.885415345150648,,,,,,,,,,,,,900000,,
07:15:00.000Z,07:30:00.000Z,17.88541581037106,,,,,,,,,,,,,900000,,
07:30:00.000Z,07:45:00.000Z,17.88541603088379,,,,,,,,,,,,,900000,,
07:45:00.000Z,08:00:00.000Z,17.88541603088379,,,,,,,,,,,,,900000,,
08:00:00.000Z,08:15:00.000Z,17.88541603088379,,0.296883,32.6088071,0.296883,32.6088071,,,,,,,,900000,,
08:15:00.000Z,08:30:00.000Z,17.88541603088379,,,,,,,,,2,,,,900000,,
08:30:00.000Z,08:45:00.000Z,17.88541603088379,,0.2967574,32.6087741,0.2967574,32.6087741,,,,,,,,900000,,
08:45:00.000Z,09:00:00.000Z,17.88541603088379,,,,,,,,,20,,,,900000,,
09:00:00.000Z,09:15:00.000Z,17.88541603088379,,,,,,,,,1,,,,900000,,
09:15:00.000Z,09:30:00.000Z,17.88541627902493,,0.2969941,32.6091313,0.2969941,32.6091313,,,,41,,,,900000,,
09:30:00.000Z,09:45:00.000Z,17.885416396642896,,0.2966611,32.6089025,0.2966611,32.6089025,,,,4,,,,900000,,
09:45:00.000Z,10:00:00.000Z,17.885416396642896,,,,,,,,,9,,,,900000,,
10:00:00.000Z,10:15:00.000Z,17.8854155345575,,,,,,,,,267,,,,346343,,
10:15:00.000Z,10:30:00.000Z,17.885416197621367,,,,,,,,,247,,,,900000,,
10:30:00.000Z,10:45:00.000Z,33.4772034847853,264.72430342435837,0.296377,32.6090361,0.2976874,32.6102557,1.3056151498204942,1.65873384475708,0.43605291843414307,341,,,,666180,233820,
10:45:00.000Z,11:00:00.000Z,17.88541603088379,,,,,,,,,,,,,900000,,
11:00:00.000Z,11:15:00.000Z,17.88541603088379,,,,,,,,,9,,,,900000,,
11:15:00.000Z,11:30:00.000Z,17.88541603088379,,0.2970512,32.6089892,0.2970512,32.6089892,,,,,,,,900000,,
11:30:00.000Z,11:45:00.000Z,17.885417059172873,,,,,,,,,149,,,,900000,,
