Start time,End time,Calories (kcal),Distance (m),Low latitude (deg),Low longitude (deg),High latitude (deg),High longitude (deg),Average speed (m/s),Max speed (m/s),Min speed (m/s),Step count,Average weight (kg),Max weight (kg),Min weight (kg),Inactive duration (ms),Walking duration (ms)
00:00:00.000Z,00:15:00.000Z,17.88541603088379,,,,,,,,,,,,,900000,
00:15:00.000Z,00:30:00.000Z,17.88541603088379,,,,,,,,,,,,,900000,
00:30:00.000Z,00:45:00.000Z,17.88541603088379,,,,,,,,,,,,,900000,
00:45:00.000Z,01:00:00.000Z,17.88541603088379,,,,,,,,,,,,,900000,
01:00:00.000Z,01:15:00.000Z,17.88541603088379,,,,,,,,,,,,,900000,
01:15:00.000Z,01:30:00.000Z,17.88541603088379,,,,,,,,,,,,,900000,
01:30:00.000Z,01:45:00.000Z,17.88541603088379,,,,,,,,,,,,,900000,
01:45:00.000Z,02:00:00.000Z,17.88541603088379,,,,,,,,,,,,,900000,
02:00:00.000Z,02:15:00.000Z,17.88541603088379,,,,,,,,,,,,,900000,
02:15:00.000Z,02:30:00.000Z,17.88541603088379,,,,,,,,,,,,,900000,
02:30:00.000Z,02:45:00.000Z,17.88541603088379,,,,,,,,,,,,,900000,
02:45:00.000Z,03:00:00.000Z,17.88541603088379,,,,,,,,,,,,,900000,
03:00:00.000Z,03:15:00.000Z,17.88541603088379,,,,,,,,,,,,,900000,
03:15:00.000Z,03:30:00.000Z,17.88541603088379,,0.2969941,32.6091313,0.2969941,32.6091313,,,,,,,,900000,
03:30:00.000Z,03:45:00.000Z,17.88541603088379,,,,,,,,,33,,,,900000,
03:45:00.000Z,04:00:00.000Z,17.88541603088379,,,,,,,,,6,,,,900000,
04:00:00.000Z,04:15:00.000Z,17.88541603088379,,,,,,,,,,,,,900000,
04:15:00.000Z,04:30:00.000Z,17.88541603088379,,,,,,,,,20,,,,900000,
04:30:00.000Z,04:45:00.000Z,17.88541603088379,,0.296377,32.6090361,0.296377,32.6090361,,,,,,,,900000,
04:45:00.000Z,05:00:00.000Z,17.88541603088379,,,,,,,,,,,,,900000,
05:00:00.000Z,05:15:00.000Z,17.88541603088379,,,,,,,,,2,,,,900000,
05:15:00.000Z,05:30:00.000Z,17.88541603088379,,,,,,,,,,,,,900000,
05:30:00.000Z,05:45:00.000Z,17.88541603088379,,,,,,,,,,,,,900000,
05:45:00.000Z,06:00:00.000Z,17.88541603088379,,0.2969941,32.6091313,0.2969941,32.6091313,,,,,,,,900000,
06:00:00.000Z,06:15:00.000Z,17.88541603088379,,,,,,,,,,,,,900000,
06:15:00.000Z,06:30:00.000Z,17.88541603088379,,,,,,,,,,,,,900000,
06:30:00.000Z,06:45:00.000Z,17.88541603088379,,,,,,,,,,,,,900000,
06:45:00.000Z,07:00:00.000Z,17.88541603088379,,,,,,,,,14,,,,900000,
07:00:00.000Z,07:15:00.000Z,33.63537678588979,267.773172720792,0.296377,32.6090361,0.2981026,32.6102614,1.1771588707972083,1.4323612451553345,0.7648820281028748,545,,,,663808,236192
07:15:00.000Z,07:30:00.000Z,41.2188871430766,423.9543081675747,0.298294,32.6007826,0.3074572,32.6090604,2.1362670716049355,4.541876792907715,0.6246654987335205,348,,,,,349917
07:30:00.000Z,07:45:00.000Z,17.885416675014636,,0.313869,32.5935867,0.327416,32.597637,,,,72,,,,315012,
07:45:00.000Z,08:00:00.000Z,17.88541603088379,,0.3274244,32.5969364,0.3274244,32.5969364,,,,39,,,,900000,
08:00:00.000Z,08:15:00.000Z,17.88541603088379,,,,,,,,,1,,,,900000,
08:15:00.000Z,08:30:00.000Z,17.88541603088379,,,,,,,,,,,,,900000,
08:30:00.000Z,08:45:00.000Z,17.88541603088379,,,,,,,,,,,,,900000,
08:45:00.000Z,09:00:00.000Z,17.88541603088379,,,,,,,,,,,,,900000,
09:00:00.000Z,09:15:00.000Z,17.88541603088379,,,,,,,,,,,,,900000,
09:15:00.000Z,09:30:00.000Z,17.88541603088379,,,,,,,,,,,,,900000,
09:30:00.000Z,09:45:00.000Z,17.885416043177308,,,,,,,,,,,,,900000,
09:45:00.000Z,10:00:00.000Z,17.885416066006783,,,,,,,,,,,,,900000,
10:00:00.000Z,10:15:00.000Z,50.78914504221596,612.1115708351135,0.326103,32.5968642,0.3273887,32.6064453,1.8750328181147375,4.297464847564697,0.27189216017723083,176,,,,303824,356176
10:15:00.000Z,10:30:00.000Z,25.927433247493596,85.33777618408203,0.3258901,32.5969065,0.3494234,32.6065375,0.708283637470872,0.7497738599777222,0.6791678071022034,238,,,,208954,120600
10:30:00.000Z,10:45:00.000Z,30.621044292440132,123.31663370132446,0.3496275,32.6039281,0.3543873,32.6148116,0.9347387764153666,1.1029399633407593,0.42535674571990967,176,,,,368183,190988
10:45:00.000Z,11:00:00.000Z,17.88541603088379,,,,,,,,,14,,,,900000,
11:00:00.000Z,11:15:00.000Z,17.88541603088379,,0.3529921,32.6146053,0.3529974,32.6147361,,,,114,,,,900000,
