Start time,End time,Calories (kcal),Distance (m),Low latitude (deg),Low longitude (deg),High latitude (deg),High longitude (deg),Average speed (m/s),Max speed (m/s),Min speed (m/s),Step count,Average weight (kg),Max weight (kg),Min weight (kg),Inactive duration (ms),Walking duration (ms),Light sleeping duration (ms),Deep sleeping duration (ms),Awake mid-sleeping duration (ms)
00:00:00.000Z,00:15:00.000Z,17.88541603088379,2.079754601226994,,,,,,,,,,,,,,900000,,
00:15:00.000Z,00:30:00.000Z,17.88541614698327,2.079754601226994,,,,,,,,,,,,,,900000,,
00:30:00.000Z,00:45:00.000Z,17.885416279668394,2.079754601226994,,,,,,,,,,,,,,900000,,
00:45:00.000Z,01:00:00.000Z,17.885415284529977,2.079754601226994,,,,,,,,,,,,,,60000,840000,
01:00:00.000Z,01:15:00.000Z,17.88541525381583,2.079754601226994,,,,,,,,,,,,,,60000,840000,
01:15:00.000Z,01:30:00.000Z,17.885415818956165,2.079754601226994,,,,,,,,,,,,,,900000,,
01:30:00.000Z,01:45:00.000Z,17.885415818956165,2.079754601226994,,,,,,,,,,,,,,900000,,
01:45:00.000Z,02:00:00.000Z,17.885415818956165,2.079754601226994,,,,,,,,,,,,,,900000,,
02:00:00.000Z,02:15:00.000Z,17.885415609745557,2.079754601226994,,,,,,,,,,,,,,480000,420000,
02:15:00.000Z,02:30:00.000Z,17.88541537064772,2.079754601226994,,,,,,,,,,,,,,,900000,
02:30:00.000Z,02:45:00.000Z,17.88541651737352,2.079754601226994,,,,,,,,,,,,,,660000,240000,
02:45:00.000Z,03:00:00.000Z,17.88541693436472,2.079754601226994,,,,,,,,,,,,,,900000,,
03:00:00.000Z,03:15:00.000Z,17.88541693436472,2.079754601226994,,,,,,,,,,,,,,900000,,
03:15:00.000Z,03:30:00.000Z,17.88541693436472,2.079754601226994,,,,,,,,,,,,,,900000,,
03:30:00.000Z,03:45:00.000Z,17.885416934364716,2.079754601226994,,,,,,,,,,,,,,60000,840000,
03:45:00.000Z,04:00:00.000Z,17.885416808881256,2.079754601226994,,,,,0.0023108383174985647,0.0023108383174985647,0.0023108383174985647,,,,,,,600000,300000,
04:00:00.000Z,04:15:00.000Z,17.885416746139526,2.079754601226994,,,,,,,,,,,,,,900000,,
04:15:00.000Z,04:30:00.000Z,17.8854163646698,2.079754601226994,,,,,,,,,,,,,,420000,480000,
04:30:00.000Z,04:45:00.000Z,17.88541532244001,2.079754601226994,,,,,,,,,,,,,,780000,120000,
04:45:00.000Z,05:00:00.000Z,17.885416326068697,2.079754601226994,,,,,,,,,,,,,,780000,,120000
05:00:00.000Z,05:15:00.000Z,17.88541634877523,2.079754601226994,0.2966421,32.6089883,0.2966421,32.6089883,,,,,,,,,,900000,,
05:15:00.000Z,05:30:00.000Z,17.885415823563285,2.079754601226994,,,,,,,,,,,,,,540000,360000,
05:30:00.000Z,05:45:00.000Z,17.88541503574537,2.079754601226994,,,,,,,,,,,,,,,900000,
05:45:00.000Z,06:00:00.000Z,17.885416681215474,2.079754601226994,0.2969413,32.609279,0.2969413,32.609279,,,,,,,,,,780000,120000,
06:00:00.000Z,06:15:00.000Z,17.88541693436472,2.079754601226994,,,,,,,,,,,,,,900000,,
06:15:00.000Z,06:30:00.000Z,17.88541675362463,2.079754601226994,,,,,,,,1,,,,300000,,600000,,
06:30:00.000Z,06:45:00.000Z,17.885416392144442,2.079754601226994,,,,,,,,3,,,,900000,,,,
06:45:00.000Z,07:00:00.000Z,17.88541630253608,2.079754601226994,0.2969413,32.609279,0.2969413,32.609279,,,,3,,,,706870,,,,
07:00:00.000Z,07:15:00.000Z,23.13668984934212,2.079754601226994,,,,,,,,2,,,,692825,78750,,,
07:15:00.000Z,07:30:00.000Z,17.88541603088379,2.079754601226994,,,,,,,,3,,,,900000,,,,
07:30:00.000Z,07:45:00.000Z,17.88541603088379,2.079754601226994,,,,,,,,3,,,,900000,,,,
07:45:00.000Z,08:00:00.000Z,17.88541603088379,2.079754601226994,,,,,,,,3,,,,900000,,,,
08:00:00.000Z,08:15:00.000Z,17.88541603088379,2.079754601226994,,,,,,,,3,,,,900000,,,,
08:15:00.000Z,08:30:00.000Z,17.88541603088379,2.079754601226994,,,,,,,,3,,,,900000,,,,
08:30:00.000Z,08:45:00.000Z,17.88541603088379,2.079754601226994,,,,,,,,3,,,,900000,,,,
08:45:00.000Z,09:00:00.000Z,17.88541603088379,2.079754601226994,,,,,,,,3,,,,900000,,,,
09:00:00.000Z,09:15:00.000Z,17.88541603088379,2.079754601226994,,,,,,,,3,,,,900000,,,,
09:15:00.000Z,09:30:00.000Z,17.88541603088379,2.079754601226994,0.2968337,32.6091944,0.2969413,32.609279,,,,3,,,,900000,,,,
09:30:00.000Z,09:45:00.000Z,17.88541603088379,2.079754601226994,,,,,,,,3,,,,900000,,,,
09:45:00.000Z,10:00:00.000Z,17.88541603088379,2.079754601226994,0.2968772,32.6091971,0.2969413,32.609279,,,,3,,,,900000,,,,
10:00:00.000Z,10:15:00.000Z,17.88541603088379,2.079754601226994,,,,,,,,3,,,,900000,,,,
10:15:00.000Z,10:30:00.000Z,17.88541603088379,2.079754601226994,0.2968495,32.6089478,0.2969413,32.609279,,,,3,,,,900000,,,,
