Start time,End time,Calories (kcal),Distance (m),Low latitude (deg),Low longitude (deg),High latitude (deg),High longitude (deg),Average speed (m/s),Max speed (m/s),Min speed (m/s),Step count,Average weight (kg),Max weight (kg),Min weight (kg),Inactive duration (ms),Walking duration (ms),Running duration (ms),Light sleeping duration (ms),Deep sleeping duration (ms)
10:45:00.000Z,11:00:00.000Z,21.97794582679245,38.187330090711875,0.3226422,32.6036556,0.3529866,32.6172152,0.998772919178009,0.998772919178009,0.998772919178009,54,,,,,61373,,,
11:00:00.000Z,11:15:00.000Z,27.282367217009394,129.44553962974712,0.3529254,32.6145288,0.3529486,32.6147186,0.9227477438181009,1.5370599031448364,0.33216482400894165,168,,,,759080,140920,,,
11:15:00.000Z,11:30:00.000Z,17.88541603088379,,,,,,,,,55,,,,900000,,,,
11:30:00.000Z,11:45:00.000Z,17.88541603088379,,0.3529705,32.6145995,0.3529705,32.6145995,,,,,,,,900000,,,,
11:45:00.000Z,12:00:00.000Z,17.88541603088379,,,,,,,,,40,,,,900000,,,,
12:00:00.000Z,12:15:00.000Z,17.88541645540077,,,,,,,,,,,,,900000,,,,
12:15:00.000Z,12:30:00.000Z,17.885416534210556,,,,,,,,,,,,,900000,,,,
12:30:00.000Z,12:45:00.000Z,17.885416534210556,,,,,,,,,,,,,900000,,,,
12:45:00.000Z,13:00:00.000Z,46.280182296446256,421.40703626119785,,,,,1.1291223348185602,1.4260034561157227,0.8827160596847534,585,,,,474182,425818,,,
13:00:00.000Z,13:15:00.000Z,37.65935592908934,299.96235327279874,0.3623248,32.6205761,0.3623248,32.6205761,0.7911944842141795,1.4319465160369873,0.34761062264442444,481,,,,376608,296537,,,
13:15:00.000Z,13:30:00.000Z,17.885416134603755,,0.3619725,32.6205761,0.3623248,32.6206727,,,,1,,,,900000,,,,
13:30:00.000Z,13:45:00.000Z,17.88541579778458,,,,,,,,,102,,,,514740,,,,
13:45:00.000Z,14:00:00.000Z,17.885414922733407,,,,,,,,,24,,,,900000,,,,
14:00:00.000Z,14:15:00.000Z,17.885414922733407,,,,,,,,,9,,,,900000,,,,
