Start time,End time,Calories (kcal),Distance (m),Low latitude (deg),Low longitude (deg),High latitude (deg),High longitude (deg),Average speed (m/s),Max speed (m/s),Min speed (m/s),Step count,Average weight (kg),Max weight (kg),Min weight (kg),Walking duration (ms),Running duration (ms),Light sleeping duration (ms),Deep sleeping duration (ms),Awake mid-sleeping duration (ms)
10:15:00.000Z,10:30:00.000Z,73.89902549204619,304.840397786713,0.3400201,32.5887329,0.3404055,32.5890903,0.4073350674357,3.7250447273254395,0.2597825825214386,305,,,,840000,,,,
10:30:00.000Z,10:45:00.000Z,49.89319610595703,528.6443692207337,0.3389622,32.5870509,0.3401737,32.5892438,1.108658072135279,2.021941900253296,0.9437499046325684,699,,,,480000,,,,
10:45:00.000Z,11:00:00.000Z,17.88541521344866,97.125,0.3389838,32.5869447,0.3391342,32.5871976,0.10791666805744171,0.10791666805744171,0.10791666805744171,134,,,,,,,,
11:00:00.000Z,11:15:00.000Z,17.88541521344866,97.125,0.3389486,32.5868879,0.3392224,32.5871126,,,,134,,,,,,,,
11:15:00.000Z,11:30:00.000Z,274.0342870935217,3189.3822281404127,0.338969,32.5868429,0.3501307,32.6038569,4.359711404993067,8.327816009521484,1.0814313888549805,168,,,,,600000,,,
11:30:00.000Z,11:45:00.000Z,71.50710623192066,838.4756581887493,0.3543537,32.6119039,0.3637151,32.6357195,0.5215000020711879,1.4417672157287598,0.0,255,,,,420000,60000,,,
11:45:00.000Z,12:00:00.000Z,77.89999485015869,743.2934900162994,0.3529057,32.6142721,0.3690643,32.64101,1.3156156130843555,2.281925678253174,0.34930554032325745,429,,,,900000,,,,
12:00:00.000Z,12:15:00.000Z,25.88736124357365,41.9166663142985,,,,,0.34930557012557983,0.34930557012557983,0.34930557012557983,57,,,,120000,,,,
12:15:00.000Z,12:30:00.000Z,17.885417611791336,0.0,0.3529458,32.6145999,0.3529458,32.6145999,,,,0,,,,,,,,
12:30:00.000Z,12:45:00.000Z,17.885417611791336,0.0,,,,,,,,0,,,,,,,,
12:45:00.000Z,13:00:00.000Z,17.885417611791336,0.0,,,,,,,,0,,,,,,,,
13:00:00.000Z,13:15:00.000Z,17.885417611791336,0.0,,,,,,,,0,,,,,,,,
13:15:00.000Z,13:30:00.000Z,17.885417611791336,0.0,,,,,0.0,0.0,0.0,0,,,,,,,,
13:30:00.000Z,13:45:00.000Z,17.885417611791336,0.0,,,,,,,,0,,,,,,,,
13:45:00.000Z,14:00:00.000Z,17.885417611791336,0.0,,,,,,,,0,,,,,,,,
14:00:00.000Z,14:15:00.000Z,17.885417611791336,0.0,,,,,,,,0,,,,,,,,
14:15:00.000Z,14:30:00.000Z,17.885417611791336,0.0,,,,,,,,0,,,,,,,,
14:30:00.000Z,14:45:00.000Z,17.885417611791336,0.0,,,,,,,,0,,,,,,,,
14:45:00.000Z,15:00:00.000Z,17.885417611791336,,,,,,,,,9,,,,,,,,
15:00:00.000Z,15:15:00.000Z,17.885417611791336,,,,,,,,,,,,,,,,,
15:15:00.000Z,15:30:00.000Z,17.885417611791336,,,,,,,,,,,,,,,,,
