Start time,End time,Calories (kcal),Distance (m),Low latitude (deg),Low longitude (deg),High latitude (deg),High longitude (deg),Average speed (m/s),Max speed (m/s),Min speed (m/s),Step count,Average weight (kg),Max weight (kg),Min weight (kg)
20:15:00.000Z,20:30:00.000Z,17.885416666666664,,,,,,,,,,,,
20:30:00.000Z,20:45:00.000Z,17.885416666666664,,,,,,,,,,,,
20:45:00.000Z,21:00:00.000Z,17.885416666666664,,,,,,,,,,,,
21:00:00.000Z,21:15:00.000Z,17.885416666666664,,,,,,,,,,,,
21:15:00.000Z,21:30:00.000Z,17.885416666666664,,,,,,,,,,,,
21:30:00.000Z,21:45:00.000Z,17.885416666666664,,,,,,,,,,,,
21:45:00.000Z,22:00:00.000Z,17.885416666666664,,,,,,,,,,,,
22:00:00.000Z,22:15:00.000Z,17.885416666666664,,,,,,,,,,,,
22:15:00.000Z,22:30:00.000Z,17.885416666666664,,,,,,,,,,,,
22:30:00.000Z,22:45:00.000Z,17.885416666666664,,,,,,,,,,,,
22:45:00.000Z,23:00:00.000Z,17.885416666666664,,,,,,,,,,,,
23:00:00.000Z,23:15:00.000Z,17.885416666666664,,,,,,,,,,,,
23:15:00.000Z,23:30:00.000Z,17.885416666666664,,,,,,,,,,,,
23:30:00.000Z,23:45:00.000Z,17.885416666666664,,,,,,,,,,,,
23:45:00.000Z,00:00:00.000Z,17.885416666666664,,,,,,,,,,,,
