Start time,End time,Calories (kcal),Distance (m),Low latitude (deg),Low longitude (deg),High latitude (deg),High longitude (deg),Average speed (m/s),Max speed (m/s),Min speed (m/s),Step count,Average weight (kg),Max weight (kg),Min weight (kg),Light sleeping duration (ms),Deep sleeping duration (ms)
14:45:00.000Z,15:00:00.000Z,17.885416666666664,,0.3527839,32.6099554,0.352868,32.610002,,,,9,,,,,
15:00:00.000Z,15:15:00.000Z,17.885416666666664,,0.3527446,32.6099054,0.352819,32.6100546,,,,27,,,,,
15:15:00.000Z,15:30:00.000Z,17.885416666666664,,0.3527875,32.609828,0.3528693,32.6100546,,,,46,,,,,
15:30:00.000Z,15:45:00.000Z,17.885416666666664,,,,,,,,,38,,,,,
15:45:00.000Z,16:00:00.000Z,17.885416666666664,,0.3527805,32.609946,0.352819,32.6100546,,,,0,,,,,
16:00:00.000Z,16:15:00.000Z,17.885416666666664,,0.352819,32.6100546,0.3543141,32.611716,,,,546,,,,,
16:15:00.000Z,16:30:00.000Z,17.885416666666664,,0.3529772,32.6134017,0.3551179,32.6146609,,,,881,,,,,
16:30:00.000Z,16:45:00.000Z,17.885416666666664,,,,,,,,,34,,,,,
16:45:00.000Z,17:00:00.000Z,17.885416666666664,,,,,,,,,,,,,,
17:00:00.000Z,17:15:00.000Z,17.885416666666664,,0.3529765,32.6146103,0.3529765,32.6146103,,,,36,,,,,
17:15:00.000Z,17:30:00.000Z,17.885416666666664,,,,,,,,,134,,,,,
17:30:00.000Z,17:45:00.000Z,17.885416666666664,,,,,,,,,,,,,,
17:45:00.000Z,18:00:00.000Z,17.885416666666664,,,,,,,,,,,,,,
18:00:00.000Z,18:15:00.000Z,17.885416666666664,,,,,,,,,,,,,,
18:15:00.000Z,18:30:00.000Z,17.885416666666664,,0.3528389,32.6146957,0.3533465,32.6155994,,,,590,,,,,
18:30:00.000Z,18:45:00.000Z,17.885416666666664,,0.3564754,32.6154507,0.3642755,32.636161,,,,155,,,,,
18:45:00.000Z,19:00:00.000Z,17.885416666666664,,,,,,,,,373,,,,,
19:00:00.000Z,19:15:00.000Z,17.885416666666664,,,,,,,,,,,,,,
19:15:00.000Z,19:30:00.000Z,17.885416666666664,,,,,,,,,,,,,,
19:30:00.000Z,19:45:00.000Z,17.885416666666664,,,,,,,,,,,,,,
19:45:00.000Z,20:00:00.000Z,17.885416666666664,,,,,,,,,,,,,,
20:00:00.000Z,20:15:00.000Z,17.885416666666664,,,,,,,,,,,,,,
20:15:00.000Z,20:30:00.000Z,17.885416666666664,,,,,,,,,,,,,,
20:30:00.000Z,20:45:00.000Z,17.885416645473907,,,,,,,,,,,,,60000,
20:45:00.000Z,21:00:00.000Z,17.885415892315727,,,,,,,,,,,,,480000,420000
21:00:00.000Z,21:15:00.000Z,17.88541537064772,1.6764705882352942,,,,,,,,,,,,,900000
21:15:00.000Z,21:30:00.000Z,17.885416111729022,1.7962184873949578,,,,,,,,,,,,660000,240000
21:30:00.000Z,21:45:00.000Z,17.88541638121313,1.7962184873949578,,,,,,,,,,,,900000,
21:45:00.000Z,22:00:00.000Z,17.88541638121313,1.7962184873949578,,,,,,,,,,,,900000,
22:00:00.000Z,22:15:00.000Z,17.88541636607544,1.7962184873949578,,,,,,,,,,,,480000,420000
22:15:00.000Z,22:30:00.000Z,17.88541634877523,1.7962184873949578,,,,,,,,,,,,,900000
22:30:00.000Z,22:45:00.000Z,17.885416327582465,1.7962184873949578,,,,,,,,,,,,60000,840000
22:45:00.000Z,23:00:00.000Z,17.885415766789365,1.7962184873949578,,,,,,,,,,,,540000,360000
23:00:00.000Z,23:15:00.000Z,17.885415722773622,1.7962184873949578,,,,,,,,,,,,480000,420000
23:15:00.000Z,23:30:00.000Z,17.88541561762492,1.7962184873949578,,,,,,,,,,,,120000,780000
23:30:00.000Z,23:45:00.000Z,17.885415505140255,1.7962184873949578,,,,,,,,,,,,240000,660000
23:45:00.000Z,00:00:00.000Z,17.88541537064772,1.7962184873949578,,,,,,,,,,,,900000,
