Start time,End time,Calories (kcal),Distance (m),Low latitude (deg),Low longitude (deg),High latitude (deg),High longitude (deg),Average speed (m/s),Max speed (m/s),Min speed (m/s),Step count,Average weight (kg),Max weight (kg),Min weight (kg),Inactive duration (ms),Walking duration (ms)
00:00:00.000Z,00:15:00.000Z,17.88541603088379,,,,,,,,,,,,,900000,
00:15:00.000Z,00:30:00.000Z,17.88541603088379,,,,,,,,,,,,,900000,
00:30:00.000Z,00:45:00.000Z,17.88541603088379,,,,,,,,,,,,,900000,
00:45:00.000Z,01:00:00.000Z,17.88541603088379,,,,,,,,,,,,,900000,
01:00:00.000Z,01:15:00.000Z,17.88541603088379,,,,,,,,,,,,,900000,
01:15:00.000Z,01:30:00.000Z,17.88541603088379,,,,,,,,,,,,,900000,
01:30:00.000Z,01:45:00.000Z,17.88541603088379,,,,,,,,,,,,,900000,
01:45:00.000Z,02:00:00.000Z,17.88541603088379,,,,,,,,,,,,,900000,
02:00:00.000Z,02:15:00.000Z,17.88541603088379,,,,,,,,,,,,,900000,
02:15:00.000Z,02:30:00.000Z,17.88541603088379,,,,,,,,,,,,,900000,
02:30:00.000Z,02:45:00.000Z,17.88541603088379,,,,,,,,,,,,,900000,
02:45:00.000Z,03:00:00.000Z,17.88541603088379,,,,,,,,,,,,,900000,
03:00:00.000Z,03:15:00.000Z,17.88541603088379,,,,,,,,,,,,,900000,
03:15:00.000Z,03:30:00.000Z,17.88541603088379,,,,,,,,,,,,,900000,
03:30:00.000Z,03:45:00.000Z,17.88541603088379,,,,,,,,,,,,,900000,
03:45:00.000Z,04:00:00.000Z,17.88541603088379,,,,,,,,,,,,,900000,
04:00:00.000Z,04:15:00.000Z,17.88541603088379,,,,,,,,,,,,,900000,
04:15:00.000Z,04:30:00.000Z,17.88541603088379,,,,,,,,,,,,,900000,
04:30:00.000Z,04:45:00.000Z,17.88541603088379,,,,,,,,,,,,,900000,
04:45:00.000Z,05:00:00.000Z,17.88541603088379,,,,,,,,,154,,,,900000,
05:00:00.000Z,05:15:00.000Z,17.88541603088379,,,,,,,,,9,,,,900000,
05:15:00.000Z,05:30:00.000Z,17.88541585879459,,,,,,,,,8,,,,900000,
05:30:00.000Z,05:45:00.000Z,17.885415640674577,,,,,,,,,7,,,,900000,
05:45:00.000Z,06:00:00.000Z,17.885415640674577,,0.2967711,32.6088494,0.2967711,32.6088494,,,,,,,,900000,
06:00:00.000Z,06:15:00.000Z,17.885415640674577,,,,,,,,,,,,,900000,
06:15:00.000Z,06:30:00.000Z,39.58508815817799,553.7208303636978,0.2966532,32.6088981,0.2986037,32.6102569,1.3243483118730848,3.302457809448242,0.5898716449737549,598,,,,310847,325416
06:30:00.000Z,06:45:00.000Z,24.134867910535924,83.35029657416838,0.2991282,32.5912502,0.3162284,32.6085333,0.9692211151123046,1.310091495513916,0.6283507347106934,117,,,,,93719
06:45:00.000Z,07:00:00.000Z,25.99845465046947,34.54148006439209,0.3230543,32.5962177,0.327416,32.5977321,0.4903887063264847,0.5419092178344727,0.4388681948184967,152,,,,593164,121666
07:00:00.000Z,07:15:00.000Z,17.885414123535156,,0.3273979,32.5969502,0.3274434,32.5970161,,,,21,,,,900000,
07:15:00.000Z,07:30:00.000Z,17.885414123535156,,,,,,,,,,,,,900000,
07:30:00.000Z,07:45:00.000Z,17.885414123535156,,,,,,,,,,,,,900000,
07:45:00.000Z,08:00:00.000Z,17.885414123535156,,,,,,,,,1,,,,900000,
08:00:00.000Z,08:15:00.000Z,17.885414123535156,,,,,,,,,,,,,900000,
08:15:00.000Z,08:30:00.000Z,17.885414123535156,,,,,,,,,,,,,900000,
08:30:00.000Z,08:45:00.000Z,17.885414123535156,,,,,,,,,1,,,,900000,
08:45:00.000Z,09:00:00.000Z,17.885414123535156,,,,,,,,,,,,,900000,
09:00:00.000Z,09:15:00.000Z,17.885414123535156,,,,,,,,,,,,,900000,
09:15:00.000Z,09:30:00.000Z,17.885414123535156,,,,,,,,,,,,,900000,
09:30:00.000Z,09:45:00.000Z,17.885414123535156,,,,,,,,,,,,,900000,
09:45:00.000Z,10:00:00.000Z,17.885414151420697,,,,,,,,,,,,,900000,
10:00:00.000Z,10:15:00.000Z,17.885414842399307,,,,,,,,,,,,,900000,
10:15:00.000Z,10:30:00.000Z,17.885415679533196,,,,,,,,,,,,,900000,
10:30:00.000Z,10:45:00.000Z,17.885415917318916,,,,,,,,,,,,,684395,
10:45:00.000Z,11:00:00.000Z,24.00316898113606,79.41140365600586,0.3262934,32.5980159,0.3262934,32.5980159,0.8647816479206084,0.8927405476570129,0.8368227481842041,137,,,,,91744
11:00:00.000Z,11:15:00.000Z,17.885415759535256,,,,,,,,,60,,,,748844,
11:15:00.000Z,11:30:00.000Z,17.885416163869913,,0.3273861,32.5968658,0.3274166,32.5970109,,,,318,,,,240867,
11:30:00.000Z,11:45:00.000Z,17.885416124374604,,0.3273918,32.5969338,0.3274162,32.597007,,,,20,,,,598271,
