Start time,End time,Calories (kcal),Distance (m),Low latitude (deg),Low longitude (deg),High latitude (deg),High longitude (deg),Average speed (m/s),Max speed (m/s),Min speed (m/s),Step count,Average weight (kg),Max weight (kg),Min weight (kg),Inactive duration (ms),Walking duration (ms),Running duration (ms)
13:15:00.000Z,13:30:00.000Z,17.88541603088379,,,,,,,,,,,,,900000,,
13:30:00.000Z,13:45:00.000Z,17.88541603088379,,,,,,,,,,,,,900000,,
13:45:00.000Z,14:00:00.000Z,17.885415752635335,,,,,,,,,,,,,900000,,
14:00:00.000Z,14:15:00.000Z,17.885415752279343,,,,,,,,,,,,,900000,,
14:15:00.000Z,14:30:00.000Z,17.885415752279343,,0.3530307,32.6145632,0.3530307,32.6145632,,,,6,,,,900000,,
14:30:00.000Z,14:45:00.000Z,35.14174208995044,259.3623900413513,0.351786,32.6146911,0.3539531,32.6153475,0.901532223817989,2.8618555068969727,0.5543558597564697,273,,,,79543,258782,
14:45:00.000Z,15:00:00.000Z,17.885415834018126,,0.3136122,32.5922016,0.3283532,32.6120744,,,,,,,,,,
15:00:00.000Z,15:15:00.000Z,61.07857785781072,390.2535789310932,0.310958,32.5991974,0.3119007,32.6001547,0.870747326305261,3.1964969635009766,0.3180156946182251,592,,,,164725,647740,
15:15:00.000Z,15:30:00.000Z,27.636585152096906,81.780433177948,0.3063534,32.5994968,0.3113415,32.6009073,0.5752951347126077,1.0405189990997314,0.4115711748600006,140,,,,431283,146232,
15:30:00.000Z,15:45:00.000Z,22.616298556394916,41.3143196105957,0.2969209,32.6071592,0.2999984,32.6092942,0.5848346650600433,0.6399847865104675,0.5296845436096191,82,,,,359467,70946,
15:45:00.000Z,16:00:00.000Z,17.88541603088379,,,,,,,,,,,,,900000,,
16:00:00.000Z,16:15:00.000Z,17.88541603088379,,,,,,,,,,,,,900000,,
16:15:00.000Z,16:30:00.000Z,17.88541603088379,,0.2968655,32.6092023,0.2968655,32.6092023,,,,,,,,900000,,
16:30:00.000Z,16:45:00.000Z,17.88541603088379,,,,,,,,,9,,,,900000,,
16:45:00.000Z,17:00:00.000Z,17.88541603088379,,,,,,,,,,,,,900000,,
17:00:00.000Z,17:15:00.000Z,17.88541603088379,,0.2969209,32.6092942,0.2969209,32.6092942,,,,,,,,900000,,
17:15:00.000Z,17:30:00.000Z,17.88541603088379,,,,,,,,,,,,,900000,,
17:30:00.000Z,17:45:00.000Z,17.885415782486824,,,,,,,,,,,,,900000,,
17:45:00.000Z,18:00:00.000Z,17.8854154089706,,,,,,,,,,,,,900000,,
18:00:00.000Z,18:15:00.000Z,17.8854154089706,,,,,,,,,107,,,,900000,,
18:15:00.000Z,18:30:00.000Z,24.671700220817808,11.090047723002229,0.2963906,32.6090209,0.2969209,32.6092942,1.1312881708145142,1.1312881708145142,1.1312881708145142,233,,,,855046,,44954
18:30:00.000Z,18:45:00.000Z,40.19644988178762,231.82332705860637,,,,,0.8569484842171534,1.2422899007797241,0.41908973455429077,395,,,,570312,190974,63436
18:45:00.000Z,19:00:00.000Z,17.88541603088379,,,,,,,,,,,,,900000,,
19:00:00.000Z,19:15:00.000Z,17.88541603088379,,0.2968172,32.6088137,0.2968172,32.6088137,,,,,,,,900000,,
19:15:00.000Z,19:30:00.000Z,17.88541603088379,,,,,,,,,9,,,,900000,,
19:30:00.000Z,19:45:00.000Z,17.88541603088379,,0.2969209,32.6092942,0.2969209,32.6092942,,,,191,,,,900000,,
19:45:00.000Z,20:00:00.000Z,17.88541603088379,,,,,,,,,,,,,900000,,
20:00:00.000Z,20:15:00.000Z,17.88541603088379,,,,,,,,,,,,,900000,,
20:15:00.000Z,20:30:00.000Z,17.88541603088379,,,,,,,,,,,,,900000,,
20:30:00.000Z,20:45:00.000Z,17.88541603088379,,,,,,,,,,,,,900000,,
20:45:00.000Z,21:00:00.000Z,17.88541603088379,,,,,,,,,9,,,,900000,,
21:00:00.000Z,21:15:00.000Z,17.88541603088379,,,,,,,,,,,,,900000,,
21:15:00.000Z,21:30:00.000Z,17.88541603088379,,,,,,,,,,,,,900000,,
