Date,Calories (kcal),Distance (m),Low latitude (deg),Low longitude (deg),High latitude (deg),High longitude (deg),Average speed (m/s),Max speed (m/s),Min speed (m/s),Step count,Average weight (kg),Max weight (kg),Min weight (kg),Biking duration (ms),Inactive duration (ms),Walking duration (ms),Running duration (ms),Light sleeping duration (ms),Deep sleeping duration (ms),Awake mid-sleeping duration (ms)
2019-06-11,2085.4817324992946,1984.2320277986073,0.2963925,32.5996073,0.3528295,32.6146872,0.2560305108712106,0.7607142925262451,0.0,2887,,,,,70693367,5525883,,8160000,1260000,
2019-06-12,1803.369196016075,858.7321450710297,0.2963925,32.6090237,0.3528252,32.6147407,0.5721183739188916,14.98768138885498,0.0,1947,,,,,48028119,1295225,,24900000,6960000,1680000
2019-06-13,1874.1029063977796,1552.0327159762383,0.2966862,32.5993956,0.352893,32.6147466,0.23701389901414913,9.939801216125488,0.0,3203,,,,,73738459,2355971,,3180000,1320000,
2019-06-14,1836.2831035752488,1609.0330790354053,0.2829391,32.5912571,0.352832,32.6147003,0.8340836144375763,1.4342423677444458,0.3973473310470581,3276,,,,,55216562,1788811,,18360000,6060000,300000
2019-06-15,2634.468678179016,11794.21359264123,0.2963954,32.5986317,0.3412427,32.6092804,0.5081069449406441,3.1666665077209473,0.0,15390,,,,,56808978,6336987,3720000,9900000,2520000,
2019-06-16,1772.2696914408302,804.5847818913397,0.2963954,32.6015766,0.2973736,32.6092804,0.9959925768691266,1.6101244688034058,0.5107728242874146,1819,,,,,68440414,828844,,9300000,7500000,
2019-06-17,2313.5085340499877,4570.579070999604,0.2963954,32.6090223,0.3629476,32.6215595,0.3306043525465749,11.523086547851562,0.0,4575,,,,,52057217,5743430,1380000,17340000,6540000,180000
2019-06-18,1801.7232464316644,989.7382205519921,0.296553,32.5991983,0.3123464,32.6092804,0.3950286626276504,7.633845329284668,6.837606197223067E-4,2640,,,,,41735750,1258313,,9240000,2220000,300000
2019-06-19,1716.9999732851475,,0.2961617,32.593525,0.3275314,32.6254638,2.3540638060373156,9.361252784729004,0.6372261047363281,6830,,,,,,,,,,
2019-06-20,1883.12902779586,1940.9356290102005,0.2963973,32.5745253,0.3320724,32.609887,0.6773742844191658,6.046956539154053,0.2709135413169861,6047,,,,,49181557,2430452,,,,
2019-06-21,1873.4219856012153,1927.2365880012512,0.2963973,32.5968473,0.3275193,32.6105422,0.6301420635750845,1.418805718421936,0.25490668416023254,4184,,,,,78295137,2345762,,,,
2019-06-22,2006.5983973563577,2574.0497881604506,0.282571,32.5059187,0.3763505,32.6378499,0.921950470705334,3.6514198780059814,0.3386419713497162,3703,,,,458397,67028607,3533426,,4680000,4440000,
2019-06-23,1855.2649921742318,939.4231252239869,0.2963749,32.5675697,0.3530827,32.6100394,0.5001037802077153,1.6038744449615479,7.964601973071694E-4,2247,,,,,57967582,2073471,,15540000,2580000,120000
2019-06-24,1834.1249921245112,1386.9070809468355,0.2964058,32.5968944,0.3623909,32.6209881,0.9607882178058039,9.797223091125488,0.3542349934577942,2843,,,,,60575617,1364336,137513,12780000,5100000,600000
2019-06-25,2421.519140457344,9301.18909090909,0.2947967,32.592305,0.3275357,32.6093259,0.4189661044378575,2.933333158493042,7.272727089002728E-4,11262,,,,,67985745,5771915,2340000,7260000,2340000,
2019-06-26,1862.3541061170579,1523.4402307185783,0.2963954,32.5990233,0.3623248,32.6206727,0.5878047327392343,7.355380535125732,0.23359733819961548,3547,,,,,60421711,2145454,,8100000,8340000,120000
2019-06-27,1791.9111389300156,870.9973738279687,0.2966485,32.5872203,0.3385134,32.610027,0.7476403783689879,1.394129753112793,3.7650601007044315E-4,2809,,,,,81518784,1123394,,,,
2019-06-28,1888.9321080904149,2510.570105075836,0.2961987,32.5935937,0.3275334,32.6105087,0.7865472673063789,2.9596526622772217,0.413541704416275,5506,,,,,80078205,2578358,,,,
2019-06-29,1894.3860848473503,1093.7283787677625,0.2055489,32.5810075,0.3711617,32.63725,0.8647237824150225,2.4650046825408936,0.08951155841350555,5115,,,,,50359098,2203181,201851,3900000,4380000,
2019-06-30,1729.5095622974204,118.65937257310365,0.2830416,32.6087433,0.2969413,32.6123794,0.4228686091539501,0.8431656956672668,0.0023108383174985647,1208,,,,,62213154,187599,,16620000,6360000,120000
2019-07-01,1957.3773550222104,2889.428054516502,0.2967498,32.5853561,0.3643608,32.623729,1.0052841494931017,3.974684953689575,0.17841869592666626,5453,,,,,53959357,3117012,183461,6540000,8460000,
2019-07-02,1912.2440072017557,2719.2329539816906,0.2963954,32.5376097,0.351632,32.6484147,0.5248085553941648,2.9411227703094482,7.030604174360633E-4,5500,,,,,46085352,2927948,,21300000,9180000,180000
2019-07-03,1820.955807042427,869.0627940571601,0.29664,32.5862642,0.3543758,32.61885,0.63035016303092,12.349215507507324,3.633060841821134E-4,2289,,,,,72147712,1558959,,8100000,,
2019-07-04,1823.613319637394,1444.1513533592224,0.2964146,32.5968681,0.3495473,32.6116017,0.8965875111639011,2.77280855178833,0.3382575511932373,4155,,,,,79125349,1598813,,,,
2019-07-05,1958.9288387215122,3687.528609655931,0.2966322,32.5939364,0.3415315,32.6099505,0.7436147808743825,4.214545726776123,0.31635478138923645,6098,,,,,65754681,3622650,,7560000,5940000,
2019-07-06,1906.9452683376837,1933.3705803622804,0.2967262,32.5780826,0.3756893,32.6435149,0.34021345342608794,6.182328701019287,0.002495009917765856,3666,,,,,47421824,2848488,,16980000,9900000,120000
2019-07-07,1764.7269316023414,253.0961040162692,0.2963973,32.6088965,0.2969345,32.6092955,0.49313410040185324,0.9167924523353577,0.0016119221691042185,883,,,,,65677484,715731,,15240000,2760000,
