Start time,End time,Calories (kcal),Distance (m),Low latitude (deg),Low longitude (deg),High latitude (deg),High longitude (deg),Average speed (m/s),Max speed (m/s),Min speed (m/s),Step count,Average weight (kg),Max weight (kg),Min weight (kg),Inactive duration (ms),Walking duration (ms)
00:00:00.000Z,00:15:00.000Z,17.88541603088379,,,,,,,,,,,,,900000,
00:15:00.000Z,00:30:00.000Z,17.88541603088379,,,,,,,,,,,,,900000,
00:30:00.000Z,00:45:00.000Z,17.88541603088379,,,,,,,,,,,,,900000,
00:45:00.000Z,01:00:00.000Z,17.88541603088379,,,,,,,,,,,,,900000,
01:00:00.000Z,01:15:00.000Z,17.88541603088379,,,,,,,,,,,,,900000,
01:15:00.000Z,01:30:00.000Z,17.88541603088379,,,,,,,,,2,,,,900000,
01:30:00.000Z,01:45:00.000Z,17.88541603088379,,,,,,,,,24,,,,900000,
01:45:00.000Z,02:00:00.000Z,17.88541603088379,,,,,,,,,,,,,900000,
02:00:00.000Z,02:15:00.000Z,17.88541603088379,,,,,,,,,,,,,900000,
02:15:00.000Z,02:30:00.000Z,17.88541603088379,,,,,,,,,,,,,900000,
02:30:00.000Z,02:45:00.000Z,17.88541603088379,,,,,,,,,,,,,900000,
02:45:00.000Z,03:00:00.000Z,17.88541603088379,,,,,,,,,,,,,900000,
03:00:00.000Z,03:15:00.000Z,17.88541603088379,,,,,,,,,,,,,900000,
03:15:00.000Z,03:30:00.000Z,17.885416001390166,,,,,,,,,,,,,900000,
03:30:00.000Z,03:45:00.000Z,17.88541558705922,,,,,,,,,,,,,900000,
03:45:00.000Z,04:00:00.000Z,17.88541592224864,,,,,,,,,,,,,604127,
04:00:00.000Z,04:15:00.000Z,17.885416606653695,,0.3011411,32.5936783,0.3164167,32.6128107,,,,,,,,,
04:15:00.000Z,04:30:00.000Z,17.885416432635378,,,,,,,,,,,,,,
04:30:00.000Z,04:45:00.000Z,29.075936119839408,107.68815040588379,0.3274168,32.5969559,0.3274168,32.5969559,0.7039874985554051,0.9443828463554382,0.35411688685417175,209,,,,455087,167817
04:45:00.000Z,05:00:00.000Z,17.88541603088379,,0.327445,32.5970005,0.3274946,32.5970095,,,,26,,,,900000,
05:00:00.000Z,05:15:00.000Z,17.88541603088379,,,,,,,,,12,,,,900000,
05:15:00.000Z,05:30:00.000Z,17.88541603088379,,,,,,,,,,,,,900000,
05:30:00.000Z,05:45:00.000Z,17.88541603088379,,,,,,,,,19,,,,900000,
05:45:00.000Z,06:00:00.000Z,17.88541603088379,,,,,,,,,,,,,900000,
06:00:00.000Z,06:15:00.000Z,17.88541603088379,,0.3274341,32.5970293,0.3274979,32.5970871,,,,23,,,,900000,
06:15:00.000Z,06:30:00.000Z,17.88541603088379,,0.3274165,32.5970203,0.3274769,32.5970434,,,,21,,,,900000,
06:30:00.000Z,06:45:00.000Z,17.88541603088379,,,,,,,,,,,,,900000,
06:45:00.000Z,07:00:00.000Z,17.88541603088379,,,,,,,,,,,,,900000,
07:00:00.000Z,07:15:00.000Z,17.88541603088379,,,,,,,,,,,,,900000,
07:15:00.000Z,07:30:00.000Z,17.88541603088379,,,,,,,,,,,,,900000,
07:30:00.000Z,07:45:00.000Z,17.88541603088379,,,,,,,,,,,,,900000,
07:45:00.000Z,08:00:00.000Z,17.88541603088379,,,,,,,,,1,,,,900000,
08:00:00.000Z,08:15:00.000Z,17.88541603088379,,,,,,,,,,,,,900000,
08:15:00.000Z,08:30:00.000Z,17.88541603088379,,,,,,,,,,,,,900000,
08:30:00.000Z,08:45:00.000Z,17.88541619573064,,,,,,,,,,,,,900000,
08:45:00.000Z,09:00:00.000Z,25.498465177920927,56.940547943115234,0.3268411,32.5968281,0.327395,32.5975403,1.1455407563268036,3.0589940547943115,0.5404583215713501,47,,,,401398,114168
09:00:00.000Z,09:15:00.000Z,17.885415876062734,,,,,,,,,97,,,,99241,
09:15:00.000Z,09:30:00.000Z,17.88541615614758,,0.3622393,32.6206051,0.3622393,32.6206051,,,,93,,,,853105,
09:30:00.000Z,09:45:00.000Z,17.88541612636751,,,,,,,,,,,,,900000,
09:45:00.000Z,10:00:00.000Z,17.88541612636751,,,,,,,,,22,,,,900000,
10:00:00.000Z,10:15:00.000Z,17.885416325569,,0.362148,32.6203453,0.3624583,32.6211279,1.3556287902993645,2.7836177349090576,0.5450908541679382,85,,,,739361,
10:15:00.000Z,10:30:00.000Z,17.88541672400979,,0.3617503,32.6206179,0.3621333,32.6209076,,,,163,,,,438349,
10:30:00.000Z,10:45:00.000Z,31.637492062410118,135.84482192993164,0.3264472,32.5974218,0.3282477,32.5981534,1.0168838734862624,1.8293228149414062,0.43201321363449097,317,,,,136540,206231
10:45:00.000Z,11:00:00.000Z,17.885414123535156,,0.3273446,32.5970148,0.3275617,32.5972435,,,,4,,,,900000,
11:00:00.000Z,11:15:00.000Z,17.885414123535156,,0.3275032,32.5970172,0.3275032,32.5970172,,,,292,,,,900000,
