Start time,End time,Calories (kcal),Distance (m),Low latitude (deg),Low longitude (deg),High latitude (deg),High longitude (deg),Average speed (m/s),Max speed (m/s),Min speed (m/s),Step count,Average weight (kg),Max weight (kg),Min weight (kg),Walking duration (ms),Light sleeping duration (ms),Deep sleeping duration (ms),Awake mid-sleeping duration (ms)
10:45:00.000Z,11:00:00.000Z,,,0.3529529,32.6145722,0.3529529,32.6145722,,,,12,,,,,,,
11:00:00.000Z,11:15:00.000Z,,,,,,,,,,,,,,,,,
11:15:00.000Z,11:30:00.000Z,,,,,,,,,,,,,,,,,
11:30:00.000Z,11:45:00.000Z,,,,,,,,,,,,,,,,,
11:45:00.000Z,12:00:00.000Z,,,,,,,,,,,,,,,,,
12:00:00.000Z,12:15:00.000Z,,,,,,,,,,,,,,,,,
12:15:00.000Z,12:30:00.000Z,,,0.3529906,32.6146085,0.3529906,32.6146085,,,,,,,,,,,
12:30:00.000Z,12:45:00.000Z,,,,,,,,,,,,,,,,,
12:45:00.000Z,13:00:00.000Z,,,,,,,,,,,,,,,,,
13:00:00.000Z,13:15:00.000Z,,,,,,,,,,,,,,,,,
13:15:00.000Z,13:30:00.000Z,,,,,,,,,,,,,,,,,
13:30:00.000Z,13:45:00.000Z,,,,,,,,,,,,,,,,,
13:45:00.000Z,14:00:00.000Z,,,,,,,,,,,,,,,,,
14:00:00.000Z,14:15:00.000Z,,,0.352951,32.6145692,0.352951,32.6145692,,,,657,,,,,,,
14:15:00.000Z,14:30:00.000Z,,,0.3550298,32.6134158,0.3592905,32.6200825,0.8033253213633177,2.71567440032959,0.5018541812896729,127,,,,,,,
14:30:00.000Z,14:45:00.000Z,,,0.34995,32.5937797,0.3548386,32.6126994,1.377106877719343,3.1665711402893066,0.54766446352005,224,,,,,,,
14:45:00.000Z,15:00:00.000Z,,,,,,,,,,361,,,,,,,
15:00:00.000Z,15:15:00.000Z,,,,,,,,,,157,,,,,,,
15:15:00.000Z,15:30:00.000Z,,,0.3512694,32.6002873,0.3542068,32.6116215,,,,119,,,,,,,
15:30:00.000Z,15:45:00.000Z,,,0.3529861,32.6145842,0.3530415,32.614871,,,,53,,,,,,,
15:45:00.000Z,16:00:00.000Z,,,,,,,,,,46,,,,,,,
16:00:00.000Z,16:15:00.000Z,,,,,,,,,,,,,,,,,
16:15:00.000Z,16:30:00.000Z,,,,,,,,,,1,,,,,,,
16:30:00.000Z,16:45:00.000Z,,,,,,,,,,,,,,,,,
16:45:00.000Z,17:00:00.000Z,,,,,,,,,,5,,,,,,,
17:00:00.000Z,17:15:00.000Z,,,,,,,,,,22,,,,,,,
17:15:00.000Z,17:30:00.000Z,,,,,,,,,,,,,,,,,
17:30:00.000Z,17:45:00.000Z,,,,,,,,,,2,,,,,,,
17:45:00.000Z,18:00:00.000Z,,,0.3543753,32.613194,0.3559481,32.6151126,,,,976,,,,,,,
18:00:00.000Z,18:15:00.000Z,,,0.3604004,32.6186482,0.3681526,32.6401126,,,,200,,,,,,,
18:15:00.000Z,18:30:00.000Z,,,0.3686929,32.6407224,0.3686929,32.6407224,,,,1,,,,,,,
18:30:00.000Z,18:45:00.000Z,,,0.3686929,32.6407224,0.3686929,32.6407224,,,,,,,,,,,
18:45:00.000Z,19:00:00.000Z,,,,,,,,,,,,,,,,,
19:00:00.000Z,19:15:00.000Z,,,,,,,,,,,,,,,,,
19:15:00.000Z,19:30:00.000Z,,,0.3687083,32.6410017,0.3687083,32.6410017,,,,,,,,,,,
19:30:00.000Z,19:45:00.000Z,,,0.3686929,32.6407224,0.3686929,32.6407224,,,,79,,,,,,,
19:45:00.000Z,20:00:00.000Z,,,0.3686929,32.6407224,0.3686929,32.6407224,,,,,,,,,,,
20:00:00.000Z,20:15:00.000Z,,,,,,,,,,,,,,,,,
20:15:00.000Z,20:30:00.000Z,,,,,,,,,,,,,,,,,
20:30:00.000Z,20:45:00.000Z,,,,,,,,,,,,,,,,,
20:45:00.000Z,21:00:00.000Z,,,0.3686929,32.6407224,0.3686929,32.6407224,,,,1,,,,,,,
21:00:00.000Z,21:15:00.000Z,,,0.3686833,32.6411733,0.3686833,32.6411733,,,,,,,,,,,
21:15:00.000Z,21:30:00.000Z,,,,,,,,,,,,,,,,,
21:30:00.000Z,21:45:00.000Z,,,,,,,,,,,,,,,,,
21:45:00.000Z,22:00:00.000Z,,,,,,,,,,,,,,,,,
22:00:00.000Z,22:15:00.000Z,,,,,,,,,,,,,,,,,
22:15:00.000Z,22:30:00.000Z,,,,,,,,,,,,,,,,,
22:30:00.000Z,22:45:00.000Z,,,,,,,,,,,,,,,,,
22:45:00.000Z,23:00:00.000Z,,,0.3686929,32.6407224,0.3686929,32.6407224,,,,140,,,,,,,
23:00:00.000Z,23:15:00.000Z,,,,,,,,,,,,,,,,,
23:15:00.000Z,23:30:00.000Z,,,,,,,,,,,,,,,,,
23:30:00.000Z,23:45:00.000Z,,,,,,,,,,,,,,,,,
23:45:00.000Z,00:00:00.000Z,,,,,,,,,,1,,,,,,,
